year,id_,age,educ,sex,race,rincome,ballot,rheight
2022,262,57,11th grade,FEMALE,White,.i:  Inapplicable,Ballot c,65
2022,263,50,1 year of college,MALE,Other,.r:  Refused,Ballot a,-100
2022,264,38,8 or more years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,265,29,5 years of college,FEMALE,Black,$25000 OR MORE,Ballot a,-100
2022,266,.n:  No answer,12th grade,MALE,Other,$6000 TO 6999,Ballot a,-100
2022,267,37,8 or more years of college,FEMALE,White,$25000 OR MORE,Ballot b,-100
2022,268,30,4 years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,269,19,1 year of college,MALE,Other,.r:  Refused,Ballot a,-100
2022,270,52,4 years of college,MALE,White,$25000 OR MORE,Ballot a,-100
2022,271,69,7 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,272,66,8 or more years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,273,45,6 years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,274,33,1 year of college,MALE,White,$8000 TO 9999,Ballot b,-100
2022,275,55,8 or more years of college,MALE,Black,$25000 OR MORE,Ballot b,-100
2022,276,46,9th grade,FEMALE,White,.r:  Refused,Ballot b,-100
2022,277,57,4 years of college,MALE,White,$25000 OR MORE,Ballot c,74
2022,278,42,2 years of college,MALE,Black,.i:  Inapplicable,Ballot b,-100
2022,279,58,2 years of college,MALE,Other,.i:  Inapplicable,Ballot c,66
2022,280,37,7 years of college,FEMALE,Other,$25000 OR MORE,Ballot c,60
2022,281,68,2 years of college,FEMALE,White,.i:  Inapplicable,Ballot a,-100
2022,282,68,3 years of college,FEMALE,Other,.i:  Inapplicable,Ballot b,-100
2022,283,35,12th grade,FEMALE,Other,.i:  Inapplicable,Ballot c,59
2022,284,41,3 years of college,FEMALE,Other,.i:  Inapplicable,Ballot c,63
2022,285,28,2 years of college,MALE,White,$25000 OR MORE,Ballot a,-100
2022,286,53,4 years of college,FEMALE,White,$25000 OR MORE,Ballot c,64
2022,287,63,12th grade,FEMALE,White,$25000 OR MORE,Ballot c,62
2022,288,71,6 years of college,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,289,56,12th grade,FEMALE,White,$15000 - 19999,Ballot c,62
2022,290,44,2 years of college,FEMALE,White,$4000 TO 4999,Ballot a,-100
2022,291,26,12th grade,FEMALE,White,$4000 TO 4999,Ballot b,-100
2022,292,67,8 or more years of college,FEMALE,White,$25000 OR MORE,Ballot c,66
2022,293,49,8th grade,MALE,White,$20000 - 24999,Ballot b,-100
2022,294,32,4 years of college,MALE,Other,.i:  Inapplicable,Ballot c,73
2022,295,39,12th grade,FEMALE,Other,$25000 OR MORE,Ballot b,-100
2022,296,61,12th grade,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,297,55,5 years of college,FEMALE,Other,$25000 OR MORE,Ballot c,60
2022,298,65,4 years of college,MALE,White,.i:  Inapplicable,Ballot b,-100
2022,299,61,11th grade,.s:  Skipped on Web,White,.s:  Skipped on Web,Ballot a,-100
2022,300,28,12th grade,FEMALE,White,$10000 - 14999,Ballot a,-100
