kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
61,0.75,30,1,0,0,1,0,1,1,0,0,157,-0.13755857944488525,0.27848178148269653,0.5540758967399597,-0.2090958058834076
63,-0.03,40,1,1,0,0,0,0,1,1,0,113,-1.011451244354248,-1.016787052154541,-0.27508440613746643,-1.637621283531189
62,-0.83,50,1,0,0,0,0,1,1,0,0,110,-1.0190978050231934,-0.6127405166625977,-0.8932534456253052,-1.9467605352401733
64,-0.38,30,1,1,0,0,0,0,1,0,0,122,-0.14083553850650787,-0.2502587139606476,0.09924061596393585,-1.9312851428985596
66,-0.81,10,1,1,0,0,0,0,1,0,0,110,-1.2517716884613037,-0.9326913952827454,-2.8231797218322754,-3.009035110473633
70,-0.93,100,1,1,0,0,0,0,1,1,0,113,-0.42266592383384705,0.012661661021411419,-1.1981732845306396,-1.0845601558685303
70,-1.01,3,1,1,0,0,0,1,1,0,0,96,-1.1512740850448608,-0.8920934200286865,-1.5526025295257568,-1.0539783239364624
61,-0.74,8,1,1,0,0,0,1,1,1,0,120,-0.7514681220054626,-0.23672574758529663,-1.4785704612731934,-0.031865909695625305
62,0.08,75,1,0,0,0,0,0,1,0,0,123,0.453411340713501,1.0653092861175537,0.018267925828695297,0.06946101039648056
70,0.79,40,0,1,0,0,0,1,0,0,0,139,1.2639468908309937,1.3224297761917114,0.4194296896457672,0.6556833982467651
62,-0.41,100,1,1,0,0,0,1,1,0,1,108,-0.011936334893107414,-0.1526300311088562,0.765067458152771,0.5315114855766296
68,-0.6,6,1,1,0,0,0,0,1,0,0,125,0.41954806447029114,-0.46194806694984436,-0.10388513654470444,-0.7024657726287842
66,-1.24,15,1,1,0,0,0,0,1,1,0,105,-1.4232732057571411,-1.146314024925232,-2.1642935276031494,-2.488030195236206
68,0.15,50,0,1,0,0,0,0,0,1,0,94,-0.31124478578567505,-0.46291470527648926,-1.7876543998718262,-2.0676157474517822
68,-0.52,75,1,1,0,0,0,0,1,1,0,88,-1.5161242485046387,-0.8253966569900513,-2.7398934364318848,-1.5845627784729004
69,-0.5,10,1,1,0,0,0,1,1,1,0,155,-0.6236612796783447,-0.8012312054634094,-0.4948674142360687,-1.038134217262268
60,-0.89,2,1,1,0,0,0,0,1,1,0,114,-1.5117547512054443,-1.1936782598495483,-2.38638973236084,-2.258478879928589
68,0.54,10,1,1,0,0,0,0,1,1,0,100,0.15301072597503662,0.031027281656861305,-1.1879938840866089,-1.9371803998947144
67,0.42,30,0,1,0,0,0,0,0,0,0,104,3.236759901046753,3.206369161605835,0.48420757055282593,-2.2352659702301025
67,-0.78,25,0,1,0,0,0,0,0,0,0,112,-0.35603174567222595,0.01652822457253933,-0.876133382320404,-1.270633339881897
69,-0.71,20,1,1,0,0,0,1,1,1,0,131,-0.6389545202255249,0.008795098401606083,-1.1093348264694214,-0.23415148258209229
63,-0.29,30,1,1,0,0,0,0,1,1,0,125,-0.4598063826560974,-0.7712661027908325,-0.5985127091407776,0.10888665914535522
63,2.56,200,0,0,0,1,0,1,0,0,1,112,1.055305004119873,1.5196200609207153,1.1310641765594482,1.203953742980957
62,-1.18,75,0,0,0,0,0,1,0,0,0,134,2.8588013648986816,0.8168883323669434,-0.4569263160228729,0.49540242552757263
61,0.91,50,0,0,0,0,0,1,0,0,1,142,0.5287846326828003,0.3316457271575928,0.3393825888633728,1.2161130905151367
70,0.97,100,0,0,0,0,0,0,0,0,1,116,1.4966208934783936,0.5481684803962708,-0.4222237169742584,1.119576334953308
69,0.06,100,0,0,0,0,0,1,0,0,0,130,1.5916565656661987,0.6399973034858704,0.5809126496315002,0.7496412396430969
61,1.52,100,0,0,0,0,0,1,0,1,0,109,-0.022860035300254822,-0.19419465959072113,0.437937468290329,1.0543584823608398
66,0.38,100,0,0,0,0,0,1,0,0,1,99,-0.19108448922634125,-0.0608011893928051,-0.7701748013496399,0.3601771295070648
